"","area_responsable","detalle.x","sub_area","detalle.y"
"1","1","Tecnología Educativa y Sustentabilidad","1","Servicio técnico (Reparación de equipamiento)"
"2","1","Tecnología Educativa y Sustentabilidad","2","Conectividad (Internet)"
"3","1","Tecnología Educativa y Sustentabilidad","3","Equipamiento (PSBA/ Scaner/ Impresora)"
"4","1","Tecnología Educativa y Sustentabilidad","4","Mi Escuela/ Boletines"
"5","1","Tecnología Educativa y Sustentabilidad","5","Asesor INTEC"
"6","1","Tecnología Educativa y Sustentabilidad","6","Escuelas verdes"
"7","1","Tecnología Educativa y Sustentabilidad","7","Otros"
"8","2","Coordinación pedagógica","1","Material Pedagógico (Libros / Cuadernillos)"
"9","2","Coordinación pedagógica","2","Nuevos Espacios (Casa casero, aulas)"
"10","2","Coordinación pedagógica","3","Alumnos / Docentes"
"11","2","Coordinación pedagógica","4","Acap (Prácticas Educativas)"
"12","2","Coordinación pedagógica","5","Jornada Extendida"
"13","2","Coordinación pedagógica","6","Otros"
"14","2","Coordinación pedagógica","7","Ampliacion/ Modificacion POF"
"15","2","Coordinación pedagógica","8","Maestro Integrador/ Apoyo / MATE"
"16","2","Coordinación pedagógica","9","Fondos Nacion/ Sitrared"
"17","2","Coordinación pedagógica","10","EOE/APND/ACDM"
"18","2","Coordinación pedagógica","11","Jornada Simple / Completa"
"19","3","Administración de recursos","1","Caja Chica"
"20","3","Administración de recursos","2","Patrimonio / Inventario / Sigaf"
"21","3","Administración de recursos","3","Escudos/Banderas y Mástiles"
"22","3","Administración de recursos","4","Otros"
"23","3","Administración de recursos","5","Telefonía"
"24","4","Infraestructura escolar","1","Puesta en valor edilicio/ Pintura"
"25","4","Infraestructura escolar","2","Instalaciones (Eléctrica, Gas,  Sanitaria)"
"26","4","Infraestructura escolar","3","Impermeabilización Gral"
"27","4","Infraestructura escolar","4","Otros"
"28","4","Infraestructura escolar","5","Nuevos Proyectos/ Obras"
"29","5","Servicio a las Escuelas","1","Comedor (Becas/ Raciones)"
"30","5","Servicio a las Escuelas","2","Transporte"
"31","5","Servicio a las Escuelas","3","Cooperadora"
"32","6","UEICEE","1","Evaluaciones FEPBA/ TESBA/ PISA"
"33","6","UEICEE","2","Estadisticas"
"34","6","UEICEE","3","Otros"
"35","7","Asuntos legales (DGCLEI)","1","Orientación jurídica al Docente. (SOJAD)"
"36","7","Asuntos legales (DGCLEI)","2","Emisión y legalización de títulos."
"37","7","Asuntos legales (DGCLEI)","3","Otros"
"38","8","Entornos de Escuelas","1","Comuna"
"39","8","Entornos de Escuelas","2","Arbolado / Poda"
"40","8","Entornos de Escuelas","3","Espacio Público"
"41","8","Entornos de Escuelas","4","Transporte/ Señaletica / Semáforos"
"42","8","Entornos de Escuelas","5","Seguridad/ Senderos Escolares"
"43","8","Entornos de Escuelas","6","Otros"
"44","9","Carrera docente/DGPDYND","1","Limpieza/ Auxiliares/ Insumos"
"45","9","Carrera docente/DGPDYND","2","Plataformas MIA/ SIAL/ SADE/ AAI"
"46","9","Carrera docente/DGPDYND","3","Licencias"
"47","9","Carrera docente/DGPDYND","4","Cobertura de Cargos (APEL)"
"48","9","Carrera docente/DGPDYND","5","Liquidacion de haberes"
"49","9","Carrera docente/DGPDYND","6","Otros"
"50","10","Mantenimiento Escolar","1","Cerramientos (Puertas/ Ventanas/ Cerraduras/Vidrios)"
"51","10","Mantenimiento Escolar","2","Calefacción / Refrigeracion"
"52","10","Mantenimiento Escolar","3","Iluminación"
"53","10","Mantenimiento Escolar","4","Filtraciones/ Humedades"
"54","10","Mantenimiento Escolar","5","Pintura"
"55","10","Mantenimiento Escolar","6","Desratización / Desinsectación"
"56","10","Mantenimiento Escolar","7","Usuario SIGMA"
"57","10","Mantenimiento Escolar","8","Otros"
"58","10","Mantenimiento Escolar","9","Accesibilidad (Ascensor/Rampas)"
"59","10","Mantenimiento Escolar","10","Instalaciones (Eléctrica, Gas, Sanitaria)"
"60","10","Mantenimiento Escolar","11","Pisos / Techos"
"61","10","Mantenimiento Escolar","12","Rejas/ Redes"
"62","11","Mobiliario","1","Aulas (Mesas y Sillas)"
"63","11","Mobiliario","2","Conducción (Mesas y Sillas)"
"64","11","Mobiliario","3","Pizarrones"
"65","11","Mobiliario","4","Comedor"
"66","11","Mobiliario","5","Juegos / piso de goma"
"67","11","Mobiliario","6","Muebles de gauarda"
