source,esc,cui,id,ans
data/encuesta/Arretino Juan.xlsx,EPC 1 DE 13,200557,a1,7
data/encuesta/Arretino Juan.xlsx,EPC 1 DE 13,200557,a2,8
data/encuesta/Arretino Juan.xlsx,EPC 1 DE 13,200557,a3,6
data/encuesta/Arretino Juan.xlsx,EPC 1 DE 13,200557,a4,7
data/encuesta/Arretino Juan.xlsx,EPC 1 DE 13,200557,b1,8
data/encuesta/Arretino Juan.xlsx,EPC 1 DE 13,200557,b2,8
data/encuesta/Arretino Juan.xlsx,EPC 1 DE 13,200557,b3,7
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 12,201509,a1,10
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 12,201509,a2,10
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 12,201509,a3,10
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 12,201509,a4,10
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 12,201509,b1,6
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 12,201509,b2,7
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 12,201509,b3,7
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 18,200774,a1,10
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 18,200774,a2,10
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 18,200774,a3,10
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 18,200774,a4,10
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 18,200774,b1,9
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 18,200774,b2,10
data/encuesta/Arretino Juan.xlsx,EPC N 11 DE 18,200774,b3,10
data/encuesta/Arretino Juan.xlsx,EPC 12 DE 20,200933,b1,7
data/encuesta/Arretino Juan.xlsx,EPC 12 DE 20,200933,b2,9
data/encuesta/Arretino Juan.xlsx,EPC 12 DE 20,200933,b3,9
data/encuesta/Arretino Juan.xlsx,EPC N 15 DE 18,200778,b1,4
data/encuesta/Arretino Juan.xlsx,EPC N 15 DE 18,200778,b2,3
data/encuesta/Arretino Juan.xlsx,EPC N 15 DE 18,200778,b3,5
data/encuesta/Arretino Juan.xlsx,JIC 3 DE 18,200797,a1,6
data/encuesta/Arretino Juan.xlsx,JIC 3 DE 18,200797,a2,6
data/encuesta/Arretino Juan.xlsx,JIC 3 DE 18,200797,a3,6
data/encuesta/Arretino Juan.xlsx,JIC 3 DE 18,200797,a4,6
